trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.18, 'e': 1.0}",25,0,-194.03457704473644,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.18, 'e': 0.99}",20,0,-147.19845781865584,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
3,False,"{'a': 0.18, 'e': 0.9801}",25,0,-156.14860628390053,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.18, 'e': 0.970299}",30,0,-220.91410333716524,"{0: 15, 1: 4, 2: 6, 3: 2, 4: 3}",0
5,False,"{'a': 0.18, 'e': 0.96059601}",20,2,-85.10024555462016,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 2}",1
6,False,"{'a': 0.18, 'e': 0.9509900498999999}",25,0,-94.22253936852863,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.18, 'e': 0.941480149401}",20,0,-26.345546522494377,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.18, 'e': 0.9320653479069899}",20,0,-66.8903464887011,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
9,False,"{'a': 0.18, 'e': 0.9227446944279201}",20,8,-34.12951320070458,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
10,False,"{'a': 0.18, 'e': 0.9135172474836408}",20,0,-157.25260174112393,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
11,False,"{'a': 0.18, 'e': 0.9043820750088044}",20,6,-50.591638788318065,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
12,False,"{'a': 0.18, 'e': 0.8953382542587164}",20,0,-16.58218231217109,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.18, 'e': 0.8863848717161292}",25,0,-108.10774463241526,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
14,False,"{'a': 0.18, 'e': 0.8775210229989678}",30,0,-150.3168547023239,"{0: 18, 1: 1, 2: 7, 3: 3, 4: 1}",0
15,False,"{'a': 0.18, 'e': 0.8687458127689782}",30,0,-222.0857902174816,"{0: 16, 1: 4, 2: 4, 3: 3, 4: 3}",0
16,False,"{'a': 0.18, 'e': 0.8600583546412884}",30,0,-56.35671361673427,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
17,False,"{'a': 0.18, 'e': 0.8514577710948755}",20,3,-33.17852176319949,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
18,False,"{'a': 0.18, 'e': 0.8429431933839268}",25,0,-60.80802018513689,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
19,False,"{'a': 0.18, 'e': 0.8345137614500875}",35,0,-168.6025232293754,"{0: 25, 1: 1, 2: 5, 3: 1, 4: 3}",0
20,False,"{'a': 0.18, 'e': 0.8261686238355866}",30,0,-147.15608507533798,"{0: 17, 1: 4, 2: 4, 3: 5, 4: 0}",0
21,False,"{'a': 0.18, 'e': 0.8179069375972308}",20,0,-148.73127872605795,"{0: 10, 1: 0, 2: 6, 3: 3, 4: 1}",0
22,False,"{'a': 0.18, 'e': 0.8097278682212584}",30,0,-82.19588942218783,"{0: 24, 1: 1, 2: 2, 3: 2, 4: 1}",0
23,False,"{'a': 0.18, 'e': 0.8016305895390459}",30,0,-133.38905730672536,"{0: 21, 1: 3, 2: 3, 3: 0, 4: 3}",0
24,False,"{'a': 0.18, 'e': 0.7936142836436554}",25,12,-3.8578776542062805,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.18, 'e': 0.7856781408072188}",25,0,-74.8590799735453,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.18, 'e': 0.7778213593991467}",25,0,-34.3504263774495,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 0}",0
27,False,"{'a': 0.18, 'e': 0.7700431458051551}",20,6,-17.95971588180359,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
28,False,"{'a': 0.18, 'e': 0.7623427143471035}",20,0,-96.80552095957118,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
29,False,"{'a': 0.18, 'e': 0.7547192872036325}",30,0,-125.47169345414297,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
30,False,"{'a': 0.18, 'e': 0.7471720943315961}",20,0,-82.65482154669408,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.18, 'e': 0.7397003733882802}",30,0,-75.15603983229127,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
32,False,"{'a': 0.18, 'e': 0.7323033696543975}",20,9,0.1321391783398682,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
33,False,"{'a': 0.18, 'e': 0.7249803359578535}",25,0,-67.1855190646212,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
34,False,"{'a': 0.18, 'e': 0.7177305325982749}",30,7,-71.93012517455541,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 1}",1
35,False,"{'a': 0.18, 'e': 0.7105532272722921}",30,0,-114.23907747916778,"{0: 22, 1: 0, 2: 6, 3: 0, 4: 2}",0
36,False,"{'a': 0.18, 'e': 0.7034476949995692}",20,0,-90.30527652628007,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
37,False,"{'a': 0.18, 'e': 0.6964132180495735}",20,10,-49.15069621876171,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
38,False,"{'a': 0.18, 'e': 0.6894490858690778}",20,0,-54.53701701213343,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
39,False,"{'a': 0.18, 'e': 0.682554595010387}",30,0,-90.18550352270965,"{0: 20, 1: 3, 2: 6, 3: 0, 4: 1}",0
40,False,"{'a': 0.18, 'e': 0.6757290490602831}",25,0,-21.895217911663167,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
41,False,"{'a': 0.18, 'e': 0.6689717585696803}",30,10,-54.85373082481946,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",1
42,False,"{'a': 0.18, 'e': 0.6622820409839835}",25,15,-3.4220829075573214,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.18, 'e': 0.6556592205741436}",20,0,-71.33098772365389,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
44,False,"{'a': 0.18, 'e': 0.6491026283684022}",25,0,-47.33938695257739,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
45,False,"{'a': 0.18, 'e': 0.6426116020847181}",25,11,-15.735578570750029,"{0: 10, 1: 3, 2: 0, 3: 1, 4: 0}",1
46,False,"{'a': 0.18, 'e': 0.6361854860638709}",25,1,-73.2229000026342,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 2}",1
47,False,"{'a': 0.18, 'e': 0.6298236312032323}",25,0,-55.25507824451098,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
48,False,"{'a': 0.18, 'e': 0.6235253948912}",25,13,-33.187513316319226,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
49,False,"{'a': 0.18, 'e': 0.617290140942288}",25,0,-89.25132687885656,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
50,False,"{'a': 0.18, 'e': 0.611117239532865}",25,0,-44.62559195244113,"{0: 19, 1: 4, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.18, 'e': 0.6050060671375364}",25,8,-50.137561917865845,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 1}",1
52,False,"{'a': 0.18, 'e': 0.598956006466161}",30,10,-0.29317870189387607,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
53,False,"{'a': 0.18, 'e': 0.5929664464014994}",20,0,-21.308482394682283,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
54,False,"{'a': 0.18, 'e': 0.5870367819374844}",25,0,-32.019520601110415,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
55,False,"{'a': 0.18, 'e': 0.5811664141181095}",25,0,-124.05524336944691,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
56,False,"{'a': 0.18, 'e': 0.5753547499769285}",20,7,-89.0508608455209,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 2}",1
57,False,"{'a': 0.18, 'e': 0.5696012024771592}",30,11,1.902412733370242,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.18, 'e': 0.5639051904523875}",25,12,4.733593652754242,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.18, 'e': 0.5582661385478637}",25,19,12.97549261925132,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.18, 'e': 0.5526834771623851}",20,4,-3.563658705454807,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.18, 'e': 0.5471566423907612}",20,0,-15.528042028782561,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
62,False,"{'a': 0.18, 'e': 0.5416850759668536}",20,7,-36.702461449372485,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
63,False,"{'a': 0.18, 'e': 0.536268225207185}",20,0,-142.53786936137314,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
64,False,"{'a': 0.18, 'e': 0.5309055429551132}",30,0,-102.67817937591963,"{0: 23, 1: 1, 2: 2, 3: 2, 4: 2}",0
65,False,"{'a': 0.18, 'e': 0.525596487525562}",25,0,-36.61788318322118,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
66,False,"{'a': 0.18, 'e': 0.5203405226503064}",20,12,-27.419230677542306,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
67,False,"{'a': 0.18, 'e': 0.5151371174238033}",20,15,7.458742950239401,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.18, 'e': 0.5099857462495653}",25,0,-21.94886772101971,"{0: 18, 1: 5, 2: 2, 3: 0, 4: 0}",0
69,False,"{'a': 0.18, 'e': 0.5048858887870696}",20,0,-44.58752926904363,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
70,False,"{'a': 0.18, 'e': 0.4998370298991989}",30,1,-14.190853821769252,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 1}",1
71,False,"{'a': 0.18, 'e': 0.49483865960020695}",30,0,-64.4440698176366,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
72,False,"{'a': 0.18, 'e': 0.4898902730042049}",20,10,-6.068118272166064,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
73,False,"{'a': 0.18, 'e': 0.48499137027416284}",25,0,-36.599993907792204,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
74,False,"{'a': 0.18, 'e': 0.4801414565714212}",25,0,-73.42398319479213,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
75,False,"{'a': 0.18, 'e': 0.47534004200570695}",25,0,-46.1855231935742,"{0: 19, 1: 3, 2: 1, 3: 2, 4: 0}",0
76,False,"{'a': 0.18, 'e': 0.4705866415856499}",25,0,20.816111207589216,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
77,False,"{'a': 0.18, 'e': 0.46588077516979337}",25,0,-108.63321144100802,"{0: 18, 1: 3, 2: 0, 3: 2, 4: 2}",0
78,False,"{'a': 0.18, 'e': 0.46122196741809546}",30,0,-88.97175243299384,"{0: 24, 1: 0, 2: 4, 3: 0, 4: 2}",0
79,False,"{'a': 0.18, 'e': 0.4566097477439145}",20,12,-1.124650320441347,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.18, 'e': 0.45204365026647536}",30,10,-45.447894158656304,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",1
81,False,"{'a': 0.18, 'e': 0.4475232137638106}",20,11,-10.714256984177236,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
82,False,"{'a': 0.18, 'e': 0.4430479816261725}",30,0,-133.06814183321234,"{0: 24, 1: 0, 2: 2, 3: 1, 4: 3}",0
83,False,"{'a': 0.18, 'e': 0.43861750180991077}",20,0,-74.936186915419,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
84,False,"{'a': 0.18, 'e': 0.43423132679181164}",25,0,-80.54951331930565,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
85,False,"{'a': 0.18, 'e': 0.4298890135238935}",20,0,1.4845931539286878,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
86,False,"{'a': 0.18, 'e': 0.4255901233886546}",20,7,-4.592161298601988,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
87,False,"{'a': 0.18, 'e': 0.421334222154768}",25,5,-23.598087490022202,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
88,False,"{'a': 0.18, 'e': 0.41712087993322033}",30,23,14.327254376533727,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.18, 'e': 0.41294967113388814}",25,3,-102.9883604101382,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 2}",1
90,False,"{'a': 0.18, 'e': 0.40882017442254925}",30,21,-17.9882077774859,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
91,False,"{'a': 0.18, 'e': 0.4047319726783238}",35,3,-13.84350759344246,"{0: 25, 1: 4, 2: 3, 3: 0, 4: 0}",1
92,False,"{'a': 0.18, 'e': 0.40068465295154054}",20,0,-72.70322768532145,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 2}",0
93,False,"{'a': 0.18, 'e': 0.3966778064220251}",20,5,-67.90160249022989,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 2}",1
94,False,"{'a': 0.18, 'e': 0.39271102835780486}",30,4,-89.34104876158499,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 2}",1
95,False,"{'a': 0.18, 'e': 0.3887839180742268}",25,0,-50.91095523140128,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
96,False,"{'a': 0.18, 'e': 0.38489607889348454}",25,0,-67.60136374793505,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
97,False,"{'a': 0.18, 'e': 0.38104711810454966}",20,0,-53.69006140383423,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
98,False,"{'a': 0.18, 'e': 0.37723664692350417}",20,5,-158.92650403172271,"{0: 7, 1: 2, 2: 2, 3: 1, 4: 3}",1
99,False,"{'a': 0.18, 'e': 0.37346428045426916}",20,2,-74.8261080300638,"{0: 13, 1: 1, 2: 1, 3: 2, 4: 1}",1
100,False,"{'a': 0.18, 'e': 0.36972963764972644}",20,9,5.694270487404245,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
