trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-102.4878885353451,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-99.23233040060875,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,1,-89.76152460334983,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-183.39739816707507,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-179.54618724885765,"{0: 16, 1: 7, 2: 4, 3: 0, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-83.27256299989122,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-240.64558285248177,"{0: 9, 1: 0, 2: 13, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-255.81870055038738,"{0: 17, 1: 1, 2: 5, 3: 3, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-204.01227303568635,"{0: 10, 1: 2, 2: 10, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-12.29779732089011,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-103.44391144657271,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-25.43781565860297,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-81.6787119796635,"{0: 12, 1: 4, 2: 1, 3: 3, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",35,0,-147.08038175286768,"{0: 22, 1: 3, 2: 8, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-185.97440250167097,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-155.66158188775745,"{0: 11, 1: 1, 2: 5, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-192.86668669200498,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-122.52042094110087,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-186.1288193150219,"{0: 12, 1: 1, 2: 9, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-124.39791218795975,"{0: 10, 1: 7, 2: 6, 3: 2, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",35,25,-9.146880870166708,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-158.9458531120662,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-79.95126046909631,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,11,-43.87771555078302,"{0: 8, 1: 0, 2: 6, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-121.51917607291672,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-122.62024263720592,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-96.51047981743554,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-120.60128444675034,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-98.28868785434972,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,13,-11.6685144057669,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
